

top - 05:08:33 up 28 days, 12:54, 17 users, load average: 0.11, 0.04, 0.01
Tasks: 170 total, 1 running, 169 sleeping, 0 stopped, 0 zombie
Cpu(s): 28.5%us, 5.2%sy, 0.0%ni, 98.1%id, 1.2%wa, 0.0%hi, 0.0%si, 0.0%st
Mem: 8062752k total, 7177188k used, 885564k free, 449228k buffers
Swap: 4128760k total, 0k used, 4128760k free, 3346568k cached
 
PID USER PR NI VIRT RES SHR S %CPU %MEM TIME+ COMMAND
63 root 20 0 0 0 0 S 0.0 0.0 0:00.00 aio/2
64 root 20 0 0 0 0 S 0.0 0.0 0:00.00 aio/3
65 root 20 0 0 0 0 S 0.0 0.0 0:00.00 crypto/0
66 root 20 0 0 0 0 S 0.0 0.0 0:00.00 crypto/1
67 root 20 0 0 0 0 S 0.0 0.0 0:00.00 crypto/2
68 root 20 0 0 0 0 S 0.0 0.0 0:00.00 crypto/3
73 root 20 0 0 0 0 S 0.0 0.0 0:00.00 kthrotld/0
74 root 20 0 0 0 0 S 0.0 0.0 0:00.00 kthrotld/1
75 root 20 0 0 0 0 S 0.0 0.0 0:00.00 kthrotld/2
76 root 20 0 0 0 0 S 0.0 0.0 0:00.00 kthrotld/3
77 root 20 0 0 0 0 S 0.0 0.0 0:00.00 pciehpd
79 root 20 0 0 0 0 S 0.0 0.0 0:00.00 kpsmoused
80 root 20 0 0 0 0 S 0.0 0.0 0:00.00 usbhid_resumer
111 root 20 0 0 0 0 S 0.0 0.0 0:00.00 kstriped
279 root 20 0 0 0 0 S 0.0 0.0 0:00.03 scsi_eh_0
299 root 20 0 0 0 0 S 0.0 0.0 0:00.03 scsi_eh_1
339 root 20 0 0 0 0 S 0.0 0.0 0:00.00 scsi_eh_2
340 root 20 0 0 0 0 S 0.0 0.0 0:00.00 vmw_pvscsi_wq_2
407 root 20 0 0 0 0 S 0.0 0.0 0:00.00 kdmflush
408 root 20 0 0 0 0 S 0.0 0.0 0:00.00 kdmflush
428 root 20 0 0 0 0 S 0.0 0.0 1:39.92 jbd2/dm-0-8
429 root 20 0 0 0 0 S 0.0 0.0 0:00.00 ext4-dio-unwrit
430 root 20 0 0 0 0 S 0.0 0.0 0:00.00 ext4-dio-unwrit
431 root 20 0 0 0 0 S 0.0 0.0 0:00.00 ext4-dio-unwrit
432 root 20 0 0 0 0 S 0.0 0.0 0:00.00 ext4-dio-unwrit
967 root 20 0 0 0 0 S 0.0 0.0 0:00.00 jbd2/sda1-8
968 root 20 0 0 0 0 S 0.0 0.0 0:00.00 ext4-dio-unwrit
969 root 20 0 0 0 0 S 0.0 0.0 0:00.00 ext4-dio-unwrit
970 root 20 0 0 0 0 S 0.0 0.0 0:00.00 ext4-dio-unwrit
971 root 20 0 0 0 0 S 0.0 0.0 0:00.00 ext4-dio-unwrit
1003 root 20 0 0 0 0 S 0.0 0.0 0:00.00 kauditd
1303 root 20 0 0 0 0 S 0.0 0.0 1:02.78 vmmemctl
1550 root 20 0 0 0 0 S 0.0 0.0 1:47.16 flush-253:0
1823 root 20 0 0 0 0 S 0.0 0.0 0:00.00 rpciod/0
1824 root 20 0 0 0 0 S 0.0 0.0 0:00.00 rpciod/1
1825 root 20 0 0 0 0 S 0.0 0.0 0:00.00 rpciod/2
1826 root 20 0 0 0 0 S 0.0 0.0 0:00.00 rpciod/3
1830 root 20 0 23084 304 108 S 0.0 0.0 0:00.00 rpc.idmapd
1924 dbus 20 0 21532 916 556 S 0.0 0.0 0:00.25 dbus-daemon
1964 root 20 0 4072 392 284 S 0.0 0.0 0:00.00 acpid
1973 haldaemo 20 0 25172 1644 792 S 0.0 0.0 0:16.07 hald
1974 root 20 0 18100 704 496 S 0.0 0.0 0:00.00 hald-runner
2002 root 20 0 20216 636 464 S 0.0 0.0 0:00.00 hald-addon-inpu
2011 haldaemo 20 0 17800 636 472 S 0.0 0.0 0:00.00 hald-addon-acpi
2248 root 16 -4 10644 692 304 S 0.0 0.0 0:00.04 udevd
2815 root 20 0 376m 1288 808 S 0.0 0.0 0:36.61 automount
2913 rpcuser 20 0 23344 1236 788 S 0.0 0.0 0:00.00 rpc.statd
2953 root 20 0 245m 2520 864 S 0.0 0.0 0:02.08 rsyslogd
5977 root 20 0 165m 1548 740 S 0.0 0.0 0:00.08 pcscd
6105 rpc 20 0 19032 804 572 S 0.0 0.0 0:04.53 rpcbind
